//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/PredictedContextAlgorithms.framework/Versions/A/PredictedContextAlgorithms
// arch:    arm64e
// uuid:    16C6D189-7855-31E7-A3C1-F4ECF35FB892
// text:    0x0000000262dbf000
// count:   4471 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000262dc0df8  0x00000004  __TEXT,__text  sub  sub_262dc0df8
0x0000000262dc0dfc  0x00000004  __TEXT,__text  sub  sub_262dc0dfc
0x0000000262dc0e00  0x00000038  __TEXT,__text  sub  sub_262dc0e00
0x0000000262dc0e38  0x00000004  __TEXT,__text  sub  sub_262dc0e38
0x0000000262dc0e3c  0x00000004  __TEXT,__text  sub  sub_262dc0e3c
0x0000000262dc0e40  0x00000004  __TEXT,__text  sub  sub_262dc0e40
0x0000000262dc0e44  0x00000004  __TEXT,__text  sub  sub_262dc0e44
0x0000000262dc0e48  0x00000004  __TEXT,__text  sub  sub_262dc0e48
0x0000000262dc0e4c  0x00000054  __TEXT,__text  sub  sub_262dc0e4c
0x0000000262dc0ea0  0x00000150  __TEXT,__text  sub  sub_262dc0ea0
0x0000000262dc0ff0  0x00000150  __TEXT,__text  sub  sub_262dc0ff0
0x0000000262dc1140  0x0000003c  __TEXT,__text  sub  sub_262dc1140
0x0000000262dc117c  0x00000034  __TEXT,__text  sub  sub_262dc117c
0x0000000262dc11b0  0x0000003c  __TEXT,__text  sub  sub_262dc11b0
0x0000000262dc11ec  0x00000054  __TEXT,__text  sub  sub_262dc11ec
0x0000000262dc1240  0x00000054  __TEXT,__text  sub  sub_262dc1240
0x0000000262dc1294  0x00000054  __TEXT,__text  sub  sub_262dc1294
0x0000000262dc35a4  0x00000044  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC9batchSizeSivg  // PCNeuralNetworkSupportBridge.NeuralNetConfig.batchSize.getter : Swift.Int
0x0000000262dc35e8  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC9batchSizeSivs  // PCNeuralNetworkSupportBridge.NeuralNetConfig.batchSize.setter : Swift.Int
0x0000000262dc3638  0x00000060  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC9batchSizeSivM  // PCNeuralNetworkSupportBridge.NeuralNetConfig.batchSize.modify : Swift.Int
0x0000000262dc3698  0x00000054  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC8outStepsSivpACTK  // key path getter for PCNeuralNetworkSupportBridge.NeuralNetConfig.outSteps : Swift.Int : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc36ec  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC8outStepsSivpACTk  // key path setter for PCNeuralNetworkSupportBridge.NeuralNetConfig.outSteps : Swift.Int : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc373c  0x00000044  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC8outStepsSivg  // PCNeuralNetworkSupportBridge.NeuralNetConfig.outSteps.getter : Swift.Int
0x0000000262dc3780  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC8outStepsSivs  // PCNeuralNetworkSupportBridge.NeuralNetConfig.outSteps.setter : Swift.Int
0x0000000262dc37d0  0x00000060  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC8outStepsSivM  // PCNeuralNetworkSupportBridge.NeuralNetConfig.outSteps.modify : Swift.Int
0x0000000262dc3830  0x00000054  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC15hiddenLayerSizeSivpACTK  // key path getter for PCNeuralNetworkSupportBridge.NeuralNetConfig.hiddenLayerSize : Swift.Int : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc3884  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC15hiddenLayerSizeSivpACTk  // key path setter for PCNeuralNetworkSupportBridge.NeuralNetConfig.hiddenLayerSize : Swift.Int : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc38d4  0x00000044  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC15hiddenLayerSizeSivg  // PCNeuralNetworkSupportBridge.NeuralNetConfig.hiddenLayerSize.getter : Swift.Int
0x0000000262dc3918  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC15hiddenLayerSizeSivs  // PCNeuralNetworkSupportBridge.NeuralNetConfig.hiddenLayerSize.setter : Swift.Int
0x0000000262dc3968  0x00000060  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC15hiddenLayerSizeSivM  // PCNeuralNetworkSupportBridge.NeuralNetConfig.hiddenLayerSize.modify : Swift.Int
0x0000000262dc39c8  0x00000054  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC6epochsSivpACTK  // key path getter for PCNeuralNetworkSupportBridge.NeuralNetConfig.epochs : Swift.Int : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc3a1c  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC6epochsSivpACTk  // key path setter for PCNeuralNetworkSupportBridge.NeuralNetConfig.epochs : Swift.Int : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc3a6c  0x00000044  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC6epochsSivg  // PCNeuralNetworkSupportBridge.NeuralNetConfig.epochs.getter : Swift.Int
0x0000000262dc3ab0  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC6epochsSivs  // PCNeuralNetworkSupportBridge.NeuralNetConfig.epochs.setter : Swift.Int
0x0000000262dc3b00  0x00000060  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC6epochsSivM  // PCNeuralNetworkSupportBridge.NeuralNetConfig.epochs.modify : Swift.Int
0x0000000262dc3b60  0x00000058  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10trainOnGpuSbvpACTK  // key path getter for PCNeuralNetworkSupportBridge.NeuralNetConfig.trainOnGpu : Swift.Bool : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc3bb8  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10trainOnGpuSbvpACTk  // key path setter for PCNeuralNetworkSupportBridge.NeuralNetConfig.trainOnGpu : Swift.Bool : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc3c08  0x00000044  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10trainOnGpuSbvg  // PCNeuralNetworkSupportBridge.NeuralNetConfig.trainOnGpu.getter : Swift.Bool
0x0000000262dc3c4c  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10trainOnGpuSbvs  // PCNeuralNetworkSupportBridge.NeuralNetConfig.trainOnGpu.setter : Swift.Bool
0x0000000262dc3c9c  0x00000060  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10trainOnGpuSbvM  // PCNeuralNetworkSupportBridge.NeuralNetConfig.trainOnGpu.modify : Swift.Bool
0x0000000262dc3cfc  0x00000054  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC12unknownLoiIDSivpACTK  // key path getter for PCNeuralNetworkSupportBridge.NeuralNetConfig.unknownLoiID : Swift.Int : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc3d50  0x00000058  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC12unknownLoiIDSivpACTk  // key path setter for PCNeuralNetworkSupportBridge.NeuralNetConfig.unknownLoiID : Swift.Int : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc3da8  0x00000044  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC12unknownLoiIDSivg  // PCNeuralNetworkSupportBridge.NeuralNetConfig.unknownLoiID.getter : Swift.Int
0x0000000262dc3dec  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC12unknownLoiIDSivs  // PCNeuralNetworkSupportBridge.NeuralNetConfig.unknownLoiID.setter : Swift.Int
0x0000000262dc3e3c  0x00000060  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC12unknownLoiIDSivM  // PCNeuralNetworkSupportBridge.NeuralNetConfig.unknownLoiID.modify : Swift.Int
0x0000000262dc3e9c  0x000000b0  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC12hiddenLayers8outSteps6epochs9batchSize10trainOnGpuACSi_S3iSbtcfC  // PCNeuralNetworkSupportBridge.NeuralNetConfig.__allocating_init(hiddenLayers: Swift.Int, outSteps: Swift.Int, epochs: Swift.Int, batchSize: Swift.Int, trainOnGpu: Swift.Bool) -> PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc3f4c  0x00000080  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC12hiddenLayers8outSteps6epochs9batchSize10trainOnGpuACSi_S3iSbtcfc  // PCNeuralNetworkSupportBridge.NeuralNetConfig.init(hiddenLayers: Swift.Int, outSteps: Swift.Int, epochs: Swift.Int, batchSize: Swift.Int, trainOnGpu: Swift.Bool) -> PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc3fcc  0x0000008c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC12hiddenLayers8outSteps6epochs9batchSize10trainOnGpuACSi_S3iSbtcfcTo  // @objc PCNeuralNetworkSupportBridge.NeuralNetConfig.init(hiddenLayers: Swift.Int, outSteps: Swift.Int, epochs: Swift.Int, batchSize: Swift.Int, trainOnGpu: Swift.Bool) -> PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc4058  0x00000070  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC20getUnknownLoiIdLabelSiyFTo  // @objc PCNeuralNetworkSupportBridge.NeuralNetConfig.getUnknownLoiIdLabel() -> Swift.Int
0x0000000262dc40c8  0x00000048  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10CodingKeys33_5E3324A45488CAD9EFDF1E72CC9262A7LLOSHAASH9hashValueSivgTW  // protocol witness for Swift.Hashable.hashValue.getter : Swift.Int in conformance PCNeuralNetworkSupportBridge.NeuralNetConfig.(CodingKeys in _5E3324A45488CAD9EFDF1E72CC9262A7) : Swift.Hashable in PCNeuralNetworkSupportBridge
0x0000000262dc4110  0x0000002c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10CodingKeys33_5E3324A45488CAD9EFDF1E72CC9262A7LLOSHAASH4hash4intoys6HasherVz_tFTW  // protocol witness for Swift.Hashable.hash(into: inout Swift.Hasher) -> () in conformance PCNeuralNetworkSupportBridge.NeuralNetConfig.(CodingKeys in _5E3324A45488CAD9EFDF1E72CC9262A7) : Swift.Hashable in PCNeuralNetworkSupportBridge
0x0000000262dc413c  0x00000044  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10CodingKeys33_5E3324A45488CAD9EFDF1E72CC9262A7LLOSHAASH13_rawHashValue4seedS2i_tFTW  // protocol witness for Swift.Hashable._rawHashValue(seed: Swift.Int) -> Swift.Int in conformance PCNeuralNetworkSupportBridge.NeuralNetConfig.(CodingKeys in _5E3324A45488CAD9EFDF1E72CC9262A7) : Swift.Hashable in PCNeuralNetworkSupportBridge
0x0000000262dc4180  0x000000d4  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10CodingKeys33_5E3324A45488CAD9EFDF1E72CC9262A7LLOs0H3KeyAAsAGP11stringValueSSvgTW  // protocol witness for Swift.CodingKey.stringValue.getter : Swift.String in conformance PCNeuralNetworkSupportBridge.NeuralNetConfig.(CodingKeys in _5E3324A45488CAD9EFDF1E72CC9262A7) : Swift.CodingKey in PCNeuralNetworkSupportBridge
0x0000000262dc4254  0x0000002c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10CodingKeys33_5E3324A45488CAD9EFDF1E72CC9262A7LLOs0H3KeyAAsAGP11stringValuexSgSS_tcfCTW  // protocol witness for Swift.CodingKey.init(stringValue: Swift.String) -> Swift.Optional<A> in conformance PCNeuralNetworkSupportBridge.NeuralNetConfig.(CodingKeys in _5E3324A45488CAD9EFDF1E72CC9262A7) : Swift.CodingKey in PCNeuralNetworkSupportBridge
0x0000000262dc4280  0x0000000c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC10CodingKeys33_5E3324A45488CAD9EFDF1E72CC9262A7LLOs0G3KeyAAsAGP8intValueSiSgvgTW  // protocol witness for Swift.CodingKey.intValue.getter : Swift.Optional<Swift.Int> in conformance PCNeuralNetworkSupportBridge.PCNeuralNetModel.(CodingKeys in _5E3324A45488CAD9EFDF1E72CC9262A7) : Swift.CodingKey in PCNeuralNetworkSupportBridge  // aliases: $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10CodingKeys33_5E3324A45488CAD9EFDF1E72CC9262A7LLOs0H3KeyAAsAGP8intValueSiSgvgTW
0x0000000262dc428c  0x0000003c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10CodingKeys33_5E3324A45488CAD9EFDF1E72CC9262A7LLOs23CustomStringConvertibleAAsAGP11descriptionSSvgTW  // protocol witness for Swift.CustomStringConvertible.description.getter : Swift.String in conformance PCNeuralNetworkSupportBridge.NeuralNetConfig.(CodingKeys in _5E3324A45488CAD9EFDF1E72CC9262A7) : Swift.CustomStringConvertible in PCNeuralNetworkSupportBridge
0x0000000262dc42c8  0x0000003c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC10CodingKeys33_5E3324A45488CAD9EFDF1E72CC9262A7LLOs28CustomDebugStringConvertibleAAsAGP16debugDescriptionSSvgTW  // protocol witness for Swift.CustomDebugStringConvertible.debugDescription.getter : Swift.String in conformance PCNeuralNetworkSupportBridge.NeuralNetConfig.(CodingKeys in _5E3324A45488CAD9EFDF1E72CC9262A7) : Swift.CustomDebugStringConvertible in PCNeuralNetworkSupportBridge
0x0000000262dc4304  0x00000018  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigCfD  // PCNeuralNetworkSupportBridge.NeuralNetConfig.__deallocating_deinit
0x0000000262dc431c  0x000002c8  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC6encode2toys7Encoder_p_tKF  // PCNeuralNetworkSupportBridge.NeuralNetConfig.encode(to: Swift.Encoder) throws -> ()
0x0000000262dc45e4  0x00000044  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC4fromACs7Decoder_p_tKcfC  // PCNeuralNetworkSupportBridge.NeuralNetConfig.__allocating_init(from: Swift.Decoder) throws -> PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc4628  0x000002bc  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigC4fromACs7Decoder_p_tKcfc  // PCNeuralNetworkSupportBridge.NeuralNetConfig.init(from: Swift.Decoder) throws -> PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc48e4  0x0000003c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigCSeAASe4fromxs7Decoder_p_tKcfCTW  // protocol witness for Swift.Decodable.init(from: Swift.Decoder) throws -> A in conformance PCNeuralNetworkSupportBridge.NeuralNetConfig : Swift.Decodable in PCNeuralNetworkSupportBridge
0x0000000262dc4920  0x00000054  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge15NeuralNetConfigCSEAASE6encode2toys7Encoder_p_tKFTW  // protocol witness for Swift.Encodable.encode(to: Swift.Encoder) throws -> () in conformance PCNeuralNetworkSupportBridge.NeuralNetConfig : Swift.Encodable in PCNeuralNetworkSupportBridge
0x0000000262dc4974  0x000004b8  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC5model14NeuralNetworks10SequentialVyAGyAGyAGyAE6Conv1DVAE4ReLUVGAE7FlattenVGAE5DenseVGAE7ReshapeVGvpfiAUyXEfU_  // closure #1 () -> NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Conv1D, NeuralNetworks.ReLU>, NeuralNetworks.Flatten>, NeuralNetworks.Dense>, NeuralNetworks.Reshape> in variable initialization expression of PCNeuralNetworkSupportBridge.PCNeuralNetModel.model : NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Conv1D, NeuralNetworks.ReLU>, NeuralNetworks.Flatten>, NeuralNetworks.Dense>, NeuralNetworks.Reshape>
0x0000000262dc4e2c  0x0000004c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC5model14NeuralNetworks10SequentialVyAGyAGyAGyAE6Conv1DVAE4ReLUVGAE7FlattenVGAE5DenseVGAE7ReshapeVGvpACTK  // key path getter for PCNeuralNetworkSupportBridge.PCNeuralNetModel.model : NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Conv1D, NeuralNetworks.ReLU>, NeuralNetworks.Flatten>, NeuralNetworks.Dense>, NeuralNetworks.Reshape> : PCNeuralNetworkSupportBridge.PCNeuralNetModel
0x0000000262dc4e78  0x000000fc  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC5model14NeuralNetworks10SequentialVyAGyAGyAGyAE6Conv1DVAE4ReLUVGAE7FlattenVGAE5DenseVGAE7ReshapeVGvpACTk  // key path setter for PCNeuralNetworkSupportBridge.PCNeuralNetModel.model : NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Conv1D, NeuralNetworks.ReLU>, NeuralNetworks.Flatten>, NeuralNetworks.Dense>, NeuralNetworks.Reshape> : PCNeuralNetworkSupportBridge.PCNeuralNetModel
0x0000000262dc4f74  0x0000008c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC5model14NeuralNetworks10SequentialVyAGyAGyAGyAE6Conv1DVAE4ReLUVGAE7FlattenVGAE5DenseVGAE7ReshapeVGvg  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.model.getter : NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Conv1D, NeuralNetworks.ReLU>, NeuralNetworks.Flatten>, NeuralNetworks.Dense>, NeuralNetworks.Reshape>
0x0000000262dc5000  0x00000094  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC5model14NeuralNetworks10SequentialVyAGyAGyAGyAE6Conv1DVAE4ReLUVGAE7FlattenVGAE5DenseVGAE7ReshapeVGvs  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.model.setter : NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Conv1D, NeuralNetworks.ReLU>, NeuralNetworks.Flatten>, NeuralNetworks.Dense>, NeuralNetworks.Reshape>
0x0000000262dc5094  0x00000060  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC5model14NeuralNetworks10SequentialVyAGyAGyAGyAE6Conv1DVAE4ReLUVGAE7FlattenVGAE5DenseVGAE7ReshapeVGvM  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.model.modify : NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Sequential<NeuralNetworks.Conv1D, NeuralNetworks.ReLU>, NeuralNetworks.Flatten>, NeuralNetworks.Dense>, NeuralNetworks.Reshape>
0x0000000262dc50f4  0x00000054  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC6configAA06NeuralE6ConfigCvpACTK  // key path getter for PCNeuralNetworkSupportBridge.PCNeuralNetModel.config : PCNeuralNetworkSupportBridge.NeuralNetConfig : PCNeuralNetworkSupportBridge.PCNeuralNetModel
0x0000000262dc5148  0x00000064  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC6configAA06NeuralE6ConfigCvpACTk  // key path setter for PCNeuralNetworkSupportBridge.PCNeuralNetModel.config : PCNeuralNetworkSupportBridge.NeuralNetConfig : PCNeuralNetworkSupportBridge.PCNeuralNetModel
0x0000000262dc51ac  0x00000054  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC6configAA06NeuralE6ConfigCvg  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.config.getter : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc5200  0x00000058  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC6configAA06NeuralE6ConfigCvs  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.config.setter : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc5258  0x00000060  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC6configAA06NeuralE6ConfigCvM  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.config.modify : PCNeuralNetworkSupportBridge.NeuralNetConfig
0x0000000262dc52b8  0x0000004c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC20encoderAsTransformer18CreateMLComponents13OneHotEncoderV0I0VySS_GSgvpACTK  // key path getter for PCNeuralNetworkSupportBridge.PCNeuralNetModel.encoderAsTransformer : Swift.Optional<CreateMLComponents.OneHotEncoder<Swift.String>.Transformer> : PCNeuralNetworkSupportBridge.PCNeuralNetModel
0x0000000262dc5304  0x000000d4  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC20encoderAsTransformer18CreateMLComponents13OneHotEncoderV0I0VySS_GSgvpACTk  // key path setter for PCNeuralNetworkSupportBridge.PCNeuralNetModel.encoderAsTransformer : Swift.Optional<CreateMLComponents.OneHotEncoder<Swift.String>.Transformer> : PCNeuralNetworkSupportBridge.PCNeuralNetModel
0x0000000262dc53d8  0x0000001c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC20encoderAsTransformer18CreateMLComponents13OneHotEncoderV0I0VySS_GSgvg  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.encoderAsTransformer.getter : Swift.Optional<CreateMLComponents.OneHotEncoder<Swift.String>.Transformer>
0x0000000262dc53f4  0x0000001c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC20encoderAsTransformer18CreateMLComponents13OneHotEncoderV0I0VySS_GSgvs  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.encoderAsTransformer.setter : Swift.Optional<CreateMLComponents.OneHotEncoder<Swift.String>.Transformer>
0x0000000262dc5410  0x00000060  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC20encoderAsTransformer18CreateMLComponents13OneHotEncoderV0I0VySS_GSgvM  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.encoderAsTransformer.modify : Swift.Optional<CreateMLComponents.OneHotEncoder<Swift.String>.Transformer>
0x0000000262dc5470  0x0000004c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC25labelEncoderAsTransformer18CreateMLComponents07OrdinalH0V0J0VySS_GSgvpACTK  // key path getter for PCNeuralNetworkSupportBridge.PCNeuralNetModel.labelEncoderAsTransformer : Swift.Optional<CreateMLComponents.OrdinalEncoder<Swift.String>.Transformer> : PCNeuralNetworkSupportBridge.PCNeuralNetModel
0x0000000262dc54bc  0x000000d4  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC25labelEncoderAsTransformer18CreateMLComponents07OrdinalH0V0J0VySS_GSgvpACTk  // key path setter for PCNeuralNetworkSupportBridge.PCNeuralNetModel.labelEncoderAsTransformer : Swift.Optional<CreateMLComponents.OrdinalEncoder<Swift.String>.Transformer> : PCNeuralNetworkSupportBridge.PCNeuralNetModel
0x0000000262dc5590  0x0000001c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC25labelEncoderAsTransformer18CreateMLComponents07OrdinalH0V0J0VySS_GSgvg  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.labelEncoderAsTransformer.getter : Swift.Optional<CreateMLComponents.OrdinalEncoder<Swift.String>.Transformer>
0x0000000262dc55ac  0x0000006c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC20encoderAsTransformer18CreateMLComponents13OneHotEncoderV0I0VySS_GSgvgTm  // merged PCNeuralNetworkSupportBridge.PCNeuralNetModel.encoderAsTransformer.getter : Swift.Optional<CreateMLComponents.OneHotEncoder<Swift.String>.Transformer>
0x0000000262dc5618  0x0000001c  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC25labelEncoderAsTransformer18CreateMLComponents07OrdinalH0V0J0VySS_GSgvs  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.labelEncoderAsTransformer.setter : Swift.Optional<CreateMLComponents.OrdinalEncoder<Swift.String>.Transformer>
0x0000000262dc5634  0x00000074  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC20encoderAsTransformer18CreateMLComponents13OneHotEncoderV0I0VySS_GSgvsTm  // merged PCNeuralNetworkSupportBridge.PCNeuralNetModel.encoderAsTransformer.setter : Swift.Optional<CreateMLComponents.OneHotEncoder<Swift.String>.Transformer>
0x0000000262dc56a8  0x00000060  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC25labelEncoderAsTransformer18CreateMLComponents07OrdinalH0V0J0VySS_GSgvM  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.labelEncoderAsTransformer.modify : Swift.Optional<CreateMLComponents.OrdinalEncoder<Swift.String>.Transformer>
0x0000000262dc5708  0x00000054  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC10inputShapeSivpACTK  // key path getter for PCNeuralNetworkSupportBridge.PCNeuralNetModel.inputShape : Swift.Int : PCNeuralNetworkSupportBridge.PCNeuralNetModel
0x0000000262dc575c  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC10inputShapeSivpACTk  // key path setter for PCNeuralNetworkSupportBridge.PCNeuralNetModel.inputShape : Swift.Int : PCNeuralNetworkSupportBridge.PCNeuralNetModel
0x0000000262dc57ac  0x00000044  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC10inputShapeSivg  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.inputShape.getter : Swift.Int
0x0000000262dc57f0  0x00000050  __TEXT,__text  swift  $s28PCNeuralNetworkSupportBridge0A8NetModelC10inputShapeSivs  // PCNeuralNetworkSupportBridge.PCNeuralNetModel.inputShape.setter : Swift.Int
